Part No.,Default purchase price,Default supplier
19-10-202-PCS,329.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-201-02-FAB,0.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-201-03,0.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-201-04,0.0,"Anhui Jagrow Auto Parts Co., Ltd."
31001-52020,1040.77,Nengun Performance
19-10-100-10,5.85,Hunt Tech Company Limited
19-10-301,51.0,"SEATO Intelligent Technology (Shanghai) Co., Ltd."
19-10-201-SS-PCS,269.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-201-TI-PCS,679.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-802,0.0,"SEATO Intelligent Technology (Shanghai) Co., Ltd."
1001-103,45.0,Shenzhen Rebow Neon Sign Company
96595A101,0.17,McMaster-Carr
96282A103,0.1718,McMaster-Carr
1173N129,19.4,McMaster-Carr
1173N151,14.25,McMaster-Carr
50003-M40XL,24.27,Turn 14
412902D200/232002A405,384.85,HighPerformance KR
1ZHY1I-615408-01,680.0,"Zage Turbosystem, Inc."
02-01-103-09-PDR,56.280857,
00-01-102-01,7.49,Custom Performance Engineering (CP-E)
27-12-100-01-BOX-FAB,30.44,
27-12-100-04,3.0,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-100-06-A,6.08,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-100-06-B,6.29,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-100-06-C,6.71,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-100-06-D,9.02,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-01-100-03,76.5,"Shanghai Langjue Mould Co.,LTD"
18-14-700-01,2.4,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-300-01,32.75,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-200-03,200.0,"Shenzhen Future Parts Technology Co.,Ltd"
18-14-300-ASB,120.62,SXTH Element Engineering
18-14-200-01,966.67,"Shenzhen Future Parts Technology Co.,Ltd"
18-14-202-01,60.51,"Nanjing Precision Engineering Co.,ltd"
18-14-200-02,400.0,"Shenzhen Future Parts Technology Co.,Ltd"
18-14-100-06-E,8.7498,Ponoko
18-14-100-04,3.98,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
18-14-105-01,130.0,"Xinxiang Zhen Hua Radiator Co., Ltd."
18-14-110-15,4.6,"Jinsumei Environmental Protection Plastic Products Co., Ltd"
18-14-201-03,6.7,Qingdao Zehan Machinery Manufacturing Co. Ltd.
18-14-202-01-FAB,117.336,
CK-CF-KNOB,95.832,Motorial KR
08-03-700-01,10.0,Oshcut
14-03-115-01,3.75,Qingdao Zehan Machinery Manufacturing Co. Ltd.
08-03-100-SIL,100.0,
08-03-105-01,21.08,Oshcut
52910S0200,250.0,HighPerformance KR
08-03-105-SIL,100.0,
08-03-105-02,7.3,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
14-03-115-03,3.75,Qingdao Zehan Machinery Manufacturing Co. Ltd.
14-03-115-02,9.82,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
14-03-115-05,12.96,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
14-03-115-06,2.0,Qingdao Zehan Machinery Manufacturing Co. Ltd.
MOL-20138,28.6,FCP Euro
01-01-100-07,1.0,G3 Machining
14-03-106-05,8.28,Qingdao Zehan Machinery Manufacturing Co. Ltd.
CBM3688C-2303,0.0,NKLAB
